settlement-id,settlement-start-date,settlement-end-date,posted-date,currency,sku,quantity-purchased,item-price,item-promotion-discount,commission,order-id
2984471023,06/01/2026,06/30/2026,06/03/2026,USD,NURIE-NRVT200-US,1,11.12,-1.11,-1.67,111-6248560-7524767
2984471023,06/01/2026,06/30/2026,06/28/2026,USD,NURIE-NRCO150-US,1,10.54,-0.53,-1.58,111-2078391-6182680
2984471023,06/01/2026,06/30/2026,06/28/2026,USD,NURIE-NREG050-US,1,28.45,-1.42,-4.27,111-4949260-9571742
2984471023,06/01/2026,06/30/2026,06/25/2026,USD,NURIE-NRRE020-US,2,34.94,-0.0,-5.24,111-7333254-8511936
2984471023,06/01/2026,06/30/2026,06/15/2026,USD,NURIE-NRPA030-US,1,17.55,-0.0,-2.63,111-5385569-2378127
2984471023,06/01/2026,06/30/2026,06/24/2026,USD,NURIE-NRCC075-US,2,25.84,-2.58,-3.88,111-1104708-4126835
2984471023,06/01/2026,06/30/2026,06/19/2026,USD,NURIE-NRPA030-US,1,17.55,-0.88,-2.63,111-4858271-2526138
2984471023,06/01/2026,06/30/2026,06/16/2026,USD,NURIE-NRSC050-US,2,27.3,-0.0,-4.09,111-5710692-9369031
2984471023,06/01/2026,06/30/2026,06/01/2026,USD,NURIE-NRCM100-US,1,9.89,-0.49,-1.48,111-1475629-9597537
2984471023,06/01/2026,06/30/2026,06/04/2026,USD,NURIE-NRCM100-US,2,19.78,-0.0,-2.97,111-6553532-2258820
2984471023,06/01/2026,06/30/2026,06/29/2026,USD,NURIE-NRCM100-US,1,9.89,-0.0,-1.48,111-4504395-7478020
2984471023,06/01/2026,06/30/2026,06/03/2026,USD,NURIE-NRVT200-US,1,11.12,-0.0,-1.67,111-2663252-1238271
2984471023,06/01/2026,06/30/2026,06/11/2026,USD,NURIE-NRCO150-US,1,10.54,-1.05,-1.58,111-8766422-8185607
2984471023,06/01/2026,06/30/2026,06/04/2026,USD,NURIE-NRVT200-US,2,22.24,-1.11,-3.34,111-2604695-8344999
2984471023,06/01/2026,06/30/2026,06/09/2026,USD,NURIE-NRVT200-US,2,22.24,-0.0,-3.34,111-1075943-2160455
2984471023,06/01/2026,06/30/2026,06/06/2026,USD,NURIE-NRCM100-US,1,9.89,-0.49,-1.48,111-1109122-4800986
2984471023,06/01/2026,06/30/2026,06/17/2026,USD,NURIE-NRSC050-US,1,13.65,-1.37,-2.05,111-9737769-5802554
2984471023,06/01/2026,06/30/2026,06/13/2026,USD,NURIE-NRPA030-US,1,17.55,-0.88,-2.63,111-3007592-2485098
2984471023,06/01/2026,06/30/2026,06/17/2026,USD,NURIE-NRCM100-US,1,9.89,-0.0,-1.48,111-4623804-5838484
2984471023,06/01/2026,06/30/2026,06/06/2026,USD,NURIE-NRPA030-US,2,35.1,-3.51,-5.26,111-1713181-8529088
2984471023,06/01/2026,06/30/2026,06/30/2026,USD,NURIE-NRVT200-US,2,22.24,-2.22,-3.34,111-9027747-8968193
2984471023,06/01/2026,06/30/2026,06/23/2026,USD,NURIE-NRVT200-US,2,22.24,-1.11,-3.34,111-6582023-2946068
2984471023,06/01/2026,06/30/2026,06/02/2026,USD,NURIE-NRVT200-US,1,11.12,-0.56,-1.67,111-6369209-4593120
2984471023,06/01/2026,06/30/2026,06/07/2026,USD,NURIE-NRCO150-US,1,10.54,-0.0,-1.58,111-5388400-8761792
2984471023,06/01/2026,06/30/2026,06/30/2026,USD,NURIE-NRPA030-US,1,17.55,-0.0,-2.63,111-1498946-4195058
2984471023,06/01/2026,06/30/2026,06/02/2026,USD,NURIE-NRPA030-US,1,17.55,-0.0,-2.63,111-1188284-4127191
2984471023,06/01/2026,06/30/2026,06/23/2026,USD,NURIE-NRCO150-US,1,10.54,-1.05,-1.58,111-8546675-6005788
2984471023,06/01/2026,06/30/2026,06/28/2026,USD,NURIE-NRRE020-US,1,17.47,-1.75,-2.62,111-6784627-1809458
2984471023,06/01/2026,06/30/2026,06/03/2026,USD,NURIE-NRCO150-US,1,10.54,-0.53,-1.58,111-7161738-2812376
2984471023,06/01/2026,06/30/2026,06/20/2026,USD,NURIE-NRRE020-US,2,34.94,-0.0,-5.24,111-1216941-5200469
